date,channel_id,channel_name,campaign_id,campaign_name,geo_id,market,platform,spend_gbp,impressions,clicks,reach,video_views,currency
2024-01-01,CH01,Paid Search - Brand,CMP_PAI_LON,Paid Search - Brand Always-on London,G01,London,Google Ads,159.46,1889,175,1434,0,GBP
2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_LON,Paid Search - Non-Brand Always-on London,G01,London,Google Ads,224.3,3226,147,2535,0,GBP
2024-01-01,CH03,Paid Social,CMP_PAI_LON,Paid Social Always-on London,G01,London,Meta,259.18,24812,329,20545,15074,GBP
2024-01-01,CH04,LinkedIn,CMP_LIN_LON,LinkedIn Always-on London,G01,London,LinkedIn Ads,256.81,7508,53,5378,0,GBP
2024-01-01,CH05,YouTube,CMP_YOU_LON,YouTube Always-on London,G01,London,Google Ads,155.25,13505,80,10499,6641,GBP
2024-01-01,CH06,Display,CMP_DIS_LON,Display Always-on London,G01,London,DV360,135.85,26960,76,16402,14469,GBP
2024-01-01,CH01,Paid Search - Brand,CMP_PAI_MAN,Paid Search - Brand Always-on Manchester,G02,Manchester,Google Ads,114.41,1459,130,1128,0,GBP
2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_MAN,Paid Search - Non-Brand Always-on Manchester,G02,Manchester,Google Ads,210.2,3150,127,2176,0,GBP
2024-01-01,CH03,Paid Social,CMP_PAI_MAN,Paid Social Always-on Manchester,G02,Manchester,Meta,226.06,22477,242,13892,13889,GBP
2024-01-01,CH04,LinkedIn,CMP_LIN_MAN,LinkedIn Always-on Manchester,G02,Manchester,LinkedIn Ads,170.08,4991,36,3950,0,GBP
2024-01-01,CH05,YouTube,CMP_YOU_MAN,YouTube Always-on Manchester,G02,Manchester,Google Ads,133.71,11264,74,6667,4843,GBP
2024-01-01,CH06,Display,CMP_DIS_MAN,Display Always-on Manchester,G02,Manchester,DV360,78.31,15889,51,12100,10523,GBP
2024-01-01,CH01,Paid Search - Brand,CMP_PAI_BIR,Paid Search - Brand Always-on Birmingham,G03,Birmingham,Google Ads,93.95,1136,93,663,0,GBP
2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_BIR,Paid Search - Non-Brand Always-on Birmingham,G03,Birmingham,Google Ads,184.72,2979,106,2322,0,GBP
2024-01-01,CH03,Paid Social,CMP_PAI_BIR,Paid Social Always-on Birmingham,G03,Birmingham,Meta,181.34,18665,243,11967,6762,GBP
2024-01-01,CH04,LinkedIn,CMP_LIN_BIR,LinkedIn Always-on Birmingham,G03,Birmingham,LinkedIn Ads,130.68,3893,30,3137,0,GBP
2024-01-01,CH05,YouTube,CMP_YOU_BIR,YouTube Always-on Birmingham,G03,Birmingham,Google Ads,101.92,8102,51,5169,4980,GBP
2024-01-01,CH06,Display,CMP_DIS_BIR,Display Always-on Birmingham,G03,Birmingham,DV360,68.38,13785,44,9262,9313,GBP
2024-01-01,CH01,Paid Search - Brand,CMP_PAI_LEE,Paid Search - Brand Always-on Leeds,G04,Leeds,Google Ads,76.07,933,75,715,0,GBP
2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_LEE,Paid Search - Non-Brand Always-on Leeds,G04,Leeds,Google Ads,197.5,2967,133,1767,0,GBP
2024-01-01,CH03,Paid Social,CMP_PAI_LEE,Paid Social Always-on Leeds,G04,Leeds,Meta,159.95,16526,195,10584,9950,GBP
2024-01-01,CH04,LinkedIn,CMP_LIN_LEE,LinkedIn Always-on Leeds,G04,Leeds,LinkedIn Ads,87.85,2328,15,1952,0,GBP
2024-01-01,CH05,YouTube,CMP_YOU_LEE,YouTube Always-on Leeds,G04,Leeds,Google Ads,112.56,8955,51,7528,5923,GBP
2024-01-01,CH06,Display,CMP_DIS_LEE,Display Always-on Leeds,G04,Leeds,DV360,70.68,13476,39,7801,9581,GBP
