customer_id,lead_id,acquisition_channel,acquisition_campaign,customer_start_date,initial_revenue_gbp,renewal_revenue_gbp,expansion_revenue_gbp,total_revenue_gbp,gross_margin_gbp,retention_months,churn_flag,actual_ltv_gbp
CU000042,L000042,Direct,CMP_DIR_LEE,2024-03-29,50652.99,47934.73,18773.16,117360.89,85326.32,30,0,117360.89
CU000044,L000044,Direct,CMP_DIR_LEE,2024-04-15,3652.56,0.0,0.0,3652.56,2954.68,20,1,3652.56
CU000056,L000056,Organic Search,CMP_ORG_MAN,2024-04-19,11817.37,0.0,1434.02,13251.4,11261.95,11,1,13251.4
CU000065,L000065,Paid Search - Non-Brand,CMP_PAI_MAN,2024-03-19,10525.27,11278.16,0.0,21803.43,15348.44,32,0,21803.43
CU000074,L000074,LinkedIn,CMP_LIN_LON,2024-04-26,30636.38,36319.48,0.0,66955.86,46928.29,29,0,66955.86
CU000083,L000083,LinkedIn,CMP_LIN_LEE,2024-05-20,47040.77,30058.7,14165.36,91264.82,78122.42,21,0,91264.82
CU000150,L000150,Paid Search - Brand,CMP_PAI_MAN,2024-03-31,3529.45,3959.43,0.0,7488.88,6369.71,35,0,7488.88
CU000164,L000164,Paid Search - Non-Brand,CMP_PAI_LON,2024-03-18,89789.72,76906.37,0.0,166696.09,131746.1,31,0,166696.09
CU000184,L000184,LinkedIn,CMP_LIN_LEE,2024-05-21,54730.27,36566.68,0.0,91296.95,65565.88,32,0,91296.95
CU000188,L000188,Events,CMP_EVE_MAN,2024-06-05,6606.48,5143.0,0.0,11749.48,9286.25,16,0,11749.48
CU000190,L000190,Partner,CMP_PAR_BIR,2024-03-18,5472.43,3158.82,366.54,8997.78,6951.49,23,0,8997.78
CU000205,L000205,Paid Search - Brand,CMP_PAI_LEE,2024-03-08,42162.51,30386.07,0.0,72548.57,60005.22,23,0,72548.57
CU000228,L000228,Paid Search - Brand,CMP_PAI_LEE,2024-04-17,7108.14,5172.2,515.7,12796.04,10735.78,35,0,12796.04
CU000231,L000231,Email,CMP_EMA_LIV,2024-06-13,5466.71,5740.39,0.0,11207.09,8185.56,29,0,11207.09
CU000251,L000251,Events,CMP_EVE_GLA,2024-04-23,7770.12,0.0,0.0,7770.12,6489.36,32,1,7770.12
CU000257,L000257,Events,CMP_EVE_GLA,2024-03-25,12730.6,7187.45,0.0,19918.04,13707.18,16,0,19918.04
CU000287,L000287,Partner,CMP_PAR_LIV,2024-05-07,22767.73,15474.36,0.0,38242.09,32239.17,25,0,38242.09
CU000290,L000290,Paid Search - Brand,CMP_PAI_LON,2024-06-16,26342.82,19140.21,0.0,45483.04,35855.35,33,0,45483.04
CU000292,L000292,Paid Search - Brand,CMP_PAI_BIR,2024-04-20,15726.44,0.0,0.0,15726.44,11372.27,24,1,15726.44
CU000299,L000299,Paid Search - Non-Brand,CMP_PAI_SHE,2024-06-05,21632.99,0.0,6924.56,28557.55,20365.75,34,1,28557.55
CU000307,L000307,LinkedIn,CMP_LIN_GLA,2024-04-18,6049.41,5480.38,0.0,11529.79,9425.84,20,0,11529.79
CU000312,L000312,Paid Search - Brand,CMP_PAI_CAR,2024-04-24,13534.01,12697.75,0.0,26231.75,21828.62,9,0,26231.75
CU000316,L000316,Paid Search - Non-Brand,CMP_PAI_BIR,2024-05-28,14153.93,12278.78,0.0,26432.7,21289.09,8,0,26432.7
CU000319,L000319,Paid Search - Brand,CMP_PAI_LIV,2024-05-25,5576.23,6187.51,595.53,12359.27,8781.74,23,0,12359.27
CU000338,L000338,Organic Search,CMP_ORG_BIR,2024-04-07,24897.66,26325.68,6119.12,57342.47,48922.6,23,0,57342.47
CU000352,L000352,Organic Search,CMP_ORG_GLA,2024-04-22,17181.97,10389.99,3543.46,31115.41,26149.03,12,0,31115.41
CU000354,L000354,Paid Search - Brand,CMP_PAI_LON,2024-05-07,68256.31,45432.07,5310.0,118998.37,100306.01,32,0,118998.37
CU000355,L000355,Paid Search - Brand,CMP_PAI_EDI,2024-06-01,8864.02,10872.98,0.0,19736.99,13755.28,34,0,19736.99
CU000356,L000356,Paid Search - Brand,CMP_PAI_LEE,2024-07-05,25504.79,21833.36,0.0,47338.15,36388.88,27,0,47338.15
CU000369,L000369,Events,CMP_EVE_BRI,2024-04-28,10055.32,0.0,2715.28,12770.6,10198.04,27,1,12770.6
CU000371,L000371,LinkedIn,CMP_LIN_LEE,2024-06-22,3654.04,3209.8,0.0,6863.84,5194.51,27,0,6863.84
CU000397,L000397,Partner,CMP_PAR_LEE,2024-05-25,3682.08,0.0,0.0,3682.08,2638.33,11,1,3682.08
