week_start_date,geo_id,market,channel_id,channel_name,spend_gbp,impressions,clicks,sessions,leads,opportunities,orders,revenue_gbp,baseline_revenue_gbp,promotion_flag,product_launch_flag,seasonality_index,competitor_event_flag,geo_test_id,treatment_flag
2024-01-01,G01,London,CH01,Paid Search - Brand,1042.63,13019,1098,1149,61,13,4,35325.38,34147.54,0,0,1.0144644016306388,0,,0
2024-01-01,G01,London,CH02,Paid Search - Non-Brand,2040.95,31690,1433,1601,61,15,6,30108.68,30828.77,0,0,1.0144644016306388,0,,0
2024-01-01,G01,London,CH03,Paid Social,1571.66,153393,1827,2073,51,13,5,31492.67,32303.5,0,0,1.0144644016306388,0,,0
2024-01-01,G01,London,CH04,LinkedIn,1388.75,40417,323,389,19,4,1,29057.16,28675.04,0,0,1.0144644016306388,0,,0
2024-01-01,G01,London,CH05,YouTube,1131.48,95148,582,591,8,1,0,29371.15,28151.18,0,0,1.0144644016306388,0,,0
2024-01-01,G01,London,CH06,Display,724.34,149275,470,473,4,0,0,31079.36,30219.53,0,0,1.0144644016306388,0,,0
2024-01-01,G02,Manchester,CH01,Paid Search - Brand,688.72,8530,667,780,40,8,3,20143.4,18888.72,0,0,1.0144644016306388,0,,0
2024-01-01,G02,Manchester,CH02,Paid Search - Non-Brand,1446.96,22837,994,1076,40,14,3,18014.81,17188.79,0,0,1.0144644016306388,0,,0
2024-01-01,G02,Manchester,CH03,Paid Social,1259.46,129715,1489,1505,40,8,3,21169.98,21180.3,0,0,1.0144644016306388,0,,0
2024-01-01,G02,Manchester,CH04,LinkedIn,955.48,27540,216,254,13,4,0,23301.87,21940.9,0,0,1.0144644016306388,0,,0
2024-01-01,G02,Manchester,CH05,YouTube,946.16,80233,528,578,8,2,0,22217.13,21240.7,0,0,1.0144644016306388,0,,0
2024-01-01,G02,Manchester,CH06,Display,510.53,99964,308,323,3,0,0,18940.26,18528.69,0,0,1.0144644016306388,0,,0
2024-01-01,G03,Birmingham,CH01,Paid Search - Brand,683.89,8708,699,867,67,13,3,18437.53,18592.59,0,0,1.0144644016306388,0,,0
2024-01-01,G03,Birmingham,CH02,Paid Search - Non-Brand,1372.05,21472,907,918,33,8,2,21318.33,20479.91,0,0,1.0144644016306388,0,,0
2024-01-01,G03,Birmingham,CH03,Paid Social,1352.26,132714,1606,1797,53,11,2,20221.82,19511.03,0,0,1.0144644016306388,0,,0
2024-01-01,G03,Birmingham,CH04,LinkedIn,949.26,26616,204,229,9,1,0,18289.82,18361.07,0,0,1.0144644016306388,0,,0
2024-01-01,G03,Birmingham,CH05,YouTube,772.2,64960,381,409,6,1,0,18642.56,17951.31,0,0,1.0144644016306388,0,,0
2024-01-01,G03,Birmingham,CH06,Display,514.42,101338,290,344,3,0,0,18160.27,18037.73,0,0,1.0144644016306388,0,,0
2024-01-01,G04,Leeds,CH01,Paid Search - Brand,553.03,6819,592,725,53,16,4,14580.27,14797.71,0,0,1.0144644016306388,0,,0
