lead_id,customer_id,created_date,first_touch_channel,last_touch_channel,campaign_id,market,industry,company_size_band,product_interest,engagement_score,lead_status,mql_flag,sql_flag
L000001,CU000001,2024-01-01,Paid Social,Paid Social,CMP_PAI_LON,London,Technology,1-49,Remote Support,71.1,New,0,0
L000002,CU000002,2024-01-01,Direct,Direct,CMP_DIR_LIV,Liverpool,Education,50-249,Security Add-on,63.7,MQL,1,0
L000003,CU000003,2024-01-02,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_GLA,Glasgow,Healthcare,50-249,Remote Support,55.9,SQL,1,1
L000004,CU000004,2024-01-02,Direct,Direct,CMP_DIR_BIR,Birmingham,Education,1-49,Enterprise Connectivity,62.0,MQL,1,0
L000005,CU000005,2024-01-02,Paid Search - Brand,Paid Search - Brand,CMP_PAI_LEE,Leeds,Healthcare,1-49,Enterprise Connectivity,48.5,MQL,1,0
L000006,CU000006,2024-01-02,Events,Events,CMP_EVE_GLA,Glasgow,Education,1000+,Remote Access,37.0,New,0,0
L000007,CU000007,2024-01-02,Email,Email,CMP_EMA_LEE,Leeds,Technology,50-249,Security Add-on,56.6,New,0,0
L000008,CU000008,2024-01-02,Paid Search - Brand,Paid Search - Brand,CMP_PAI_CAR,Cardiff,Manufacturing,1000+,Remote Access,75.8,New,0,0
L000009,CU000009,2024-01-03,Direct,Direct,CMP_DIR_LON,London,Technology,1-49,Remote Access,61.1,MQL,1,0
L000010,CU000010,2024-01-03,Paid Search - Brand,Paid Search - Brand,CMP_PAI_SHE,Sheffield,Healthcare,1000+,Security Add-on,57.7,MQL,1,0
L000011,CU000011,2024-01-03,Paid Search - Brand,Paid Search - Brand,CMP_PAI_SHE,Sheffield,Healthcare,1-49,Remote Access,90.2,MQL,1,0
L000012,CU000012,2024-01-03,LinkedIn,LinkedIn,CMP_LIN_LON,London,Education,50-249,Security Add-on,78.1,New,0,0
L000013,CU000013,2024-01-03,Organic Search,Organic Search,CMP_ORG_EDI,Edinburgh,Healthcare,1000+,Remote Access,61.8,New,0,0
L000014,CU000014,2024-01-04,LinkedIn,LinkedIn,CMP_LIN_SHE,Sheffield,Education,1000+,Remote Access,83.2,SQL,1,1
L000015,CU000015,2024-01-04,Email,Email,CMP_EMA_MAN,Manchester,Professional Services,50-249,Enterprise Connectivity,66.7,SQL,1,1
L000016,CU000016,2024-01-04,Organic Search,Organic Search,CMP_ORG_BIR,Birmingham,Manufacturing,50-249,Remote Access,61.8,MQL,1,0
