opportunity_id,lead_id,customer_id,created_date,close_date,product_id,opportunity_stage,pipeline_value_gbp,expected_value_gbp,closed_won_flag,closed_lost_flag,sales_cycle_days,loss_reason
O000001,L000003,CU000003,2024-01-16,2024-03-24,Remote Access,Closed Lost,11859.59,3320.68,0,1,68,Budget
O000002,L000014,CU000014,2024-01-15,2024-02-21,Remote Access,Closed Lost,67741.69,32516.01,0,1,37,Timing
O000003,L000015,CU000015,2024-01-15,2024-04-18,Security Add-on,Closed Lost,17667.68,4946.95,0,1,94,Timing
O000004,L000019,CU000019,2024-01-11,2024-04-28,Remote Support,Closed Lost,17340.7,8323.53,0,1,108,Budget
O000005,L000020,CU000020,2024-01-07,2024-02-05,Security Add-on,Closed Lost,70323.52,19690.58,0,1,29,No decision
O000006,L000028,CU000028,2024-01-11,2024-03-23,Remote Support,Closed Lost,35440.91,9923.45,0,1,72,Budget
O000007,L000036,CU000036,2024-01-12,2024-02-09,Remote Support,Closed Lost,12202.88,4148.98,0,1,28,Timing
O000008,L000042,CU000042,2024-01-21,2024-03-29,Security Add-on,Closed Won,58419.62,16357.49,1,0,68,
O000009,L000044,CU000044,2024-01-15,2024-04-15,Remote Access,Closed Won,4181.73,1421.79,1,0,91,
O000010,L000050,CU000050,2024-01-25,2024-05-08,Remote Access,Closed Lost,74367.33,35696.32,0,1,104,Budget
O000011,L000052,CU000052,2024-01-13,2024-04-07,Remote Access,Closed Lost,9136.28,1827.26,0,1,85,Competitor
O000012,L000053,CU000053,2024-01-24,2024-05-10,Remote Access,Closed Lost,16874.37,5737.29,0,1,107,Budget
O000013,L000056,CU000056,2024-01-21,2024-04-19,Remote Access,Closed Won,12597.19,3527.21,1,0,89,
O000014,L000059,CU000059,2024-01-18,2024-04-01,Security Add-on,Closed Lost,54362.84,15221.6,0,1,74,No decision
O000015,L000064,CU000064,2024-01-19,2024-05-07,Security Add-on,Closed Lost,47948.27,13425.52,0,1,109,Timing
O000016,L000065,CU000065,2024-01-26,2024-03-19,Enterprise Connectivity,Closed Won,12007.49,3362.1,1,0,53,
O000017,L000068,CU000068,2024-01-27,2024-02-27,Remote Access,Closed Lost,13279.69,4515.09,0,1,31,No decision
O000018,L000070,CU000070,2024-01-26,2024-02-23,Enterprise Connectivity,Closed Lost,30690.68,10434.83,0,1,28,No decision
O000019,L000074,CU000074,2024-01-25,2024-04-26,Remote Support,Closed Won,31636.34,15185.44,1,0,92,
O000020,L000075,CU000075,2024-01-17,2024-04-08,Remote Support,Closed Lost,16054.32,4495.21,0,1,82,Timing
O000021,L000080,CU000080,2024-01-29,2024-05-04,Remote Access,Closed Lost,69403.29,19432.92,0,1,96,Budget
O000022,L000082,CU000082,2024-01-25,2024-04-22,Remote Support,Closed Lost,40785.4,8157.08,0,1,88,Timing
O000023,L000083,CU000083,2024-01-28,2024-05-20,Remote Access,Closed Won,49826.7,20927.21,1,0,113,
O000024,L000106,CU000106,2024-02-02,2024-04-02,Remote Support,Closed Lost,11849.86,3317.96,0,1,60,Timing
O000025,L000109,CU000109,2024-01-23,2024-05-05,Remote Access,Closed Lost,13066.05,3658.49,0,1,103,Timing
O000026,L000110,CU000110,2024-01-30,2024-02-21,Enterprise Connectivity,Closed Lost,45766.83,12814.71,0,1,22,No decision
O000027,L000112,CU000112,2024-02-02,2024-03-31,Security Add-on,Closed Lost,6836.17,1914.13,0,1,58,Competitor
O000028,L000125,CU000125,2024-02-07,2024-04-18,Remote Access,Closed Lost,20125.22,5635.06,0,1,71,Budget
O000029,L000127,CU000127,2024-02-10,2024-05-21,Enterprise Connectivity,Closed Lost,45947.67,22054.88,0,1,101,Timing
O000030,L000130,CU000130,2024-02-03,2024-03-16,Security Add-on,Closed Lost,27457.9,5491.58,0,1,42,Budget
O000031,L000137,CU000137,2024-02-07,2024-03-26,Enterprise Connectivity,Closed Lost,16295.4,4562.71,0,1,48,Competitor
O000032,L000150,CU000150,2024-02-12,2024-03-31,Enterprise Connectivity,Closed Won,3691.96,1033.75,1,0,48,
O000033,L000156,CU000156,2024-02-08,2024-04-03,Remote Support,Closed Lost,24800.21,8432.07,0,1,55,Competitor
O000034,L000157,CU000157,2024-02-07,2024-04-01,Remote Support,Closed Lost,14234.25,3985.59,0,1,54,No decision
O000035,L000164,CU000164,2024-02-14,2024-03-18,Remote Access,Closed Won,96687.3,27072.44,1,0,33,
O000036,L000168,CU000168,2024-02-08,2024-03-06,Remote Access,Closed Lost,37708.46,10558.37,0,1,27,Budget
O000037,L000177,CU000177,2024-02-16,2024-05-27,Remote Support,Closed Lost,43440.51,12163.34,0,1,101,Timing
