revenue_id,customer_id,opportunity_id,revenue_date,product_id,market,revenue_amount_gbp,gross_margin_gbp,new_existing_customer,billing_type
R000001,CU000042,O000008,2024-03-29,Enterprise Connectivity,Leeds,50652.99,37579.72,New,Annual
R000002,CU000044,O000009,2024-04-15,Remote Support,Leeds,3652.56,2672.03,New,Annual
R000003,CU000056,O000013,2024-04-19,Enterprise Connectivity,Manchester,11817.37,9935.24,New,Annual
R000004,CU000065,O000016,2024-03-19,Remote Access,Manchester,10525.27,7723.34,New,Annual
R000005,CU000074,O000019,2024-04-26,Security Add-on,London,30636.38,24205.69,New,Annual
R000006,CU000083,O000023,2024-05-20,Enterprise Connectivity,Leeds,47040.77,37360.03,New,Annual
R000007,CU000150,O000032,2024-03-31,Security Add-on,Manchester,3529.45,2402.83,New,Annual
R000008,CU000164,O000035,2024-03-18,Remote Support,London,89789.72,76748.16,New,Annual
R000009,CU000184,O000040,2024-05-21,Remote Access,Leeds,54730.27,46022.97,New,Annual
R000010,CU000188,O000042,2024-06-05,Remote Support,Manchester,6606.48,5551.44,New,Annual
R000011,CU000190,O000043,2024-03-18,Remote Access,Birmingham,5472.43,4325.86,New,Annual
R000012,CU000205,O000047,2024-03-08,Remote Access,Leeds,42162.51,29217.35,New,Annual
R000013,CU000228,O000050,2024-04-17,Remote Support,Leeds,7108.14,4947.12,New,Annual
R000014,CU000231,O000052,2024-06-13,Security Add-on,Liverpool,5466.71,4428.88,New,Annual
R000015,CU000251,O000056,2024-04-23,Remote Support,Glasgow,7770.12,5916.24,New,Annual
R000016,CU000257,O000058,2024-03-25,Security Add-on,Glasgow,12730.6,9988.79,New,Annual
R000017,CU000287,O000061,2024-05-07,Enterprise Connectivity,Liverpool,22767.73,17638.32,New,Annual
R000018,CU000290,O000063,2024-06-16,Enterprise Connectivity,London,26342.82,21066.23,New,Annual
R000019,CU000292,O000064,2024-04-20,Enterprise Connectivity,Birmingham,15726.44,12754.58,New,Annual
R000020,CU000299,O000066,2024-06-05,Enterprise Connectivity,Sheffield,21632.99,16292.4,New,Annual
R000021,CU000307,O000067,2024-04-18,Security Add-on,Glasgow,6049.41,4280.49,New,Annual
R000022,CU000312,O000068,2024-04-24,Security Add-on,Cardiff,13534.01,10789.71,New,Annual
R000023,CU000316,O000070,2024-05-28,Remote Access,Birmingham,14153.93,9709.39,New,Annual
R000024,CU000319,O000071,2024-05-25,Remote Access,Liverpool,5576.23,3934.87,New,Annual
R000025,CU000338,O000075,2024-04-07,Enterprise Connectivity,Birmingham,24897.66,17816.29,New,Annual
R000026,CU000352,O000076,2024-04-22,Remote Support,Glasgow,17181.97,11902.95,New,Annual
R000027,CU000354,O000077,2024-05-07,Remote Access,London,68256.31,52460.8,New,Annual
R000028,CU000355,O000078,2024-06-01,Remote Access,Edinburgh,8864.02,7401.05,New,Annual
