session_id,anonymous_user_id,customer_id,session_timestamp,session_date,channel_id,channel_name,campaign_id,source,medium,landing_page,device_type,market,is_new_visitor,page_views,session_duration_seconds,lead_created_flag,conversion_flag
S0000001,U020647,,2024-01-01 15:38:00,2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_LON,google,cpc_nonbrand,/pricing,Desktop,London,1,6,588,0,0
S0000002,U026535,,2024-01-01 04:09:00,2024-01-01,CH01,Paid Search - Brand,CMP_PAI_BIR,google,cpc_brand,/enterprise,Mobile,Birmingham,0,3,520,0,0
S0000003,U011707,,2024-01-01 17:28:00,2024-01-01,CH04,LinkedIn,CMP_LIN_SHE,linkedin,paid_social,/pricing,Mobile,Sheffield,0,5,810,0,0
S0000004,U003457,,2024-01-01 03:40:00,2024-01-01,CH01,Paid Search - Brand,CMP_PAI_LON,google,cpc_brand,/solutions,Desktop,London,0,2,768,0,0
S0000005,U001751,,2024-01-01 01:46:00,2024-01-01,CH08,Organic Search,CMP_ORG_LON,google,organic,/enterprise,Mobile,London,1,7,866,0,0
S0000006,U026074,,2024-01-01 01:14:00,2024-01-01,CH03,Paid Social,CMP_PAI_BIR,meta,paid_social,/solutions,Desktop,Birmingham,1,3,174,0,0
S0000007,U014333,,2024-01-01 19:38:00,2024-01-01,CH03,Paid Social,CMP_PAI_BIR,meta,paid_social,/solutions,Mobile,Birmingham,1,6,345,0,0
S0000008,U002870,CU000001,2024-01-01 15:04:00,2024-01-01,CH03,Paid Social,CMP_PAI_LON,meta,paid_social,/enterprise,Desktop,London,1,3,111,1,1
S0000009,U017013,,2024-01-01 03:26:00,2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_MAN,google,cpc_nonbrand,/resources,Mobile,Manchester,0,2,482,0,0
S0000010,U005774,,2024-01-01 20:03:00,2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_MAN,google,cpc_nonbrand,/pricing,Desktop,Manchester,1,6,840,0,0
S0000011,U028704,,2024-01-01 15:24:00,2024-01-01,CH03,Paid Social,CMP_PAI_LIV,meta,paid_social,/solutions,Desktop,Liverpool,0,8,815,0,0
S0000012,U007090,,2024-01-01 09:58:00,2024-01-01,CH05,YouTube,CMP_YOU_GLA,youtube,video,/solutions,Tablet,Glasgow,1,3,842,0,0
S0000013,U000651,,2024-01-01 18:39:00,2024-01-01,CH08,Organic Search,CMP_ORG_LIV,google,organic,/enterprise,Mobile,Liverpool,0,7,896,0,0
S0000014,U027872,,2024-01-01 20:20:00,2024-01-01,CH09,Direct,CMP_DIR_EDI,(direct),none,/solutions,Desktop,Edinburgh,1,3,30,0,0
S0000015,U024372,,2024-01-01 17:11:00,2024-01-01,CH05,YouTube,CMP_YOU_GLA,youtube,video,/pricing,Desktop,Glasgow,1,1,577,0,0
S0000016,U020222,,2024-01-01 16:34:00,2024-01-01,CH01,Paid Search - Brand,CMP_PAI_LEE,google,cpc_brand,/pricing,Desktop,Leeds,0,3,683,0,0
S0000017,U025015,,2024-01-01 13:59:00,2024-01-01,CH03,Paid Social,CMP_PAI_CAR,meta,paid_social,/enterprise,Desktop,Cardiff,1,1,739,0,0
S0000018,U023153,,2024-01-01 03:03:00,2024-01-01,CH04,LinkedIn,CMP_LIN_LON,linkedin,paid_social,/solutions,Desktop,London,1,7,461,0,0
S0000019,U020426,,2024-01-01 23:54:00,2024-01-01,CH04,LinkedIn,CMP_LIN_LON,linkedin,paid_social,/pricing,Desktop,London,1,1,487,0,0
S0000020,U000776,,2024-01-01 14:31:00,2024-01-01,CH08,Organic Search,CMP_ORG_LIV,google,organic,/enterprise,Mobile,Liverpool,0,8,571,0,0
S0000021,U026124,,2024-01-01 12:22:00,2024-01-01,CH05,YouTube,CMP_YOU_GLA,youtube,video,/pricing,Tablet,Glasgow,0,8,767,0,0
S0000022,U023840,,2024-01-01 14:22:00,2024-01-01,CH08,Organic Search,CMP_ORG_LON,google,organic,/pricing,Desktop,London,0,5,867,0,0
S0000023,U003950,,2024-01-01 08:19:00,2024-01-01,CH06,Display,CMP_DIS_CAR,dv360,display,/resources,Mobile,Cardiff,0,5,395,0,0
S0000024,U025571,,2024-01-01 07:02:00,2024-01-01,CH03,Paid Social,CMP_PAI_BIR,meta,paid_social,/enterprise,Mobile,Birmingham,1,6,96,0,0
S0000025,U021652,,2024-01-01 15:22:00,2024-01-01,CH09,Direct,CMP_DIR_BIR,(direct),none,/solutions,Mobile,Birmingham,1,3,887,0,0
S0000026,U018424,,2024-01-01 19:44:00,2024-01-01,CH03,Paid Social,CMP_PAI_BIR,meta,paid_social,/solutions,Mobile,Birmingham,0,7,247,0,0
S0000027,U014478,,2024-01-01 19:42:00,2024-01-01,CH11,Events,CMP_EVE_BIR,event,offline,/pricing,Mobile,Birmingham,1,4,233,0,0
S0000028,U014351,,2024-01-01 12:29:00,2024-01-01,CH09,Direct,CMP_DIR_MAN,(direct),none,/solutions,Mobile,Manchester,0,7,298,0,0
S0000029,U021475,,2024-01-01 00:08:00,2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_MAN,google,cpc_nonbrand,/pricing,Mobile,Manchester,1,8,829,0,0
S0000030,U000049,,2024-01-01 17:05:00,2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_BRI,google,cpc_nonbrand,/pricing,Desktop,Bristol,1,4,460,0,0
S0000031,U021314,,2024-01-01 00:21:00,2024-01-01,CH09,Direct,CMP_DIR_LON,(direct),none,/solutions,Desktop,London,1,5,716,0,0
S0000032,U001881,CU000002,2024-01-01 02:35:00,2024-01-01,CH09,Direct,CMP_DIR_LIV,(direct),none,/solutions,Desktop,Liverpool,0,6,330,1,1
S0000033,U020407,,2024-01-01 00:53:00,2024-01-01,CH08,Organic Search,CMP_ORG_GLA,google,organic,/solutions,Desktop,Glasgow,0,2,505,0,0
S0000034,U021525,,2024-01-01 20:37:00,2024-01-01,CH04,LinkedIn,CMP_LIN_MAN,linkedin,paid_social,/resources,Mobile,Manchester,1,2,886,0,0
S0000035,U024573,,2024-01-01 21:33:00,2024-01-01,CH05,YouTube,CMP_YOU_LEE,youtube,video,/enterprise,Tablet,Leeds,0,4,604,0,0
S0000036,U008362,,2024-01-01 12:33:00,2024-01-01,CH10,Partner,CMP_PAR_LON,partner,referral,/pricing,Desktop,London,0,8,475,0,0
S0000037,U022408,,2024-01-01 11:47:00,2024-01-01,CH09,Direct,CMP_DIR_GLA,(direct),none,/solutions,Desktop,Glasgow,0,4,111,0,0
S0000038,U019156,,2024-01-01 21:04:00,2024-01-01,CH03,Paid Social,CMP_PAI_GLA,meta,paid_social,/pricing,Mobile,Glasgow,0,5,640,0,0
S0000039,U006932,,2024-01-01 11:15:00,2024-01-01,CH09,Direct,CMP_DIR_EDI,(direct),none,/resources,Mobile,Edinburgh,1,7,772,0,0
S0000040,U000017,,2024-01-01 09:33:00,2024-01-01,CH03,Paid Social,CMP_PAI_EDI,meta,paid_social,/resources,Desktop,Edinburgh,0,2,705,0,0
S0000041,U011178,,2024-01-01 14:42:00,2024-01-01,CH07,Email,CMP_EMA_BIR,crm,email,/enterprise,Desktop,Birmingham,1,6,39,0,0
S0000042,U018203,,2024-01-01 03:31:00,2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_SHE,google,cpc_nonbrand,/solutions,Mobile,Sheffield,0,6,825,0,0
S0000043,U011905,,2024-01-01 04:35:00,2024-01-01,CH03,Paid Social,CMP_PAI_BRI,meta,paid_social,/enterprise,Desktop,Bristol,1,6,761,0,0
S0000044,U020053,,2024-01-01 00:59:00,2024-01-01,CH07,Email,CMP_EMA_LIV,crm,email,/pricing,Desktop,Liverpool,1,8,353,0,0
S0000045,U019207,,2024-01-01 01:48:00,2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_SHE,google,cpc_nonbrand,/solutions,Desktop,Sheffield,1,2,467,0,0
S0000046,U027413,,2024-01-01 05:20:00,2024-01-01,CH09,Direct,CMP_DIR_GLA,(direct),none,/pricing,Desktop,Glasgow,1,4,127,0,0
S0000047,U008620,,2024-01-01 23:41:00,2024-01-01,CH09,Direct,CMP_DIR_MAN,(direct),none,/pricing,Desktop,Manchester,1,1,481,0,0
S0000048,U024492,,2024-01-01 14:13:00,2024-01-01,CH09,Direct,CMP_DIR_LEE,(direct),none,/pricing,Desktop,Leeds,1,4,863,0,0
